id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
2075,Ivan Kalinin,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,1135,0,0,2,dark green
2076,Zibusiso Ncube,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,1136,1,0,0,red
2077,Milos Mrdakovic,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,1137,0,0,2,purple
2078,Igor Smilansky,,26,35,61,27.0,38.0,65.0,5,5.8122976897360535E-5,0,9,0,0,65,purple
2079,Matthew Roberts,,41,29,70,43.0,31.0,74.0,4,1.3648364389023905E-4,0,9,0,0,74,green
2080,Ted Bachev,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,1138,0,0,2,purple
2081,Peng Gao,,37,56,93,41.0,79.0,120.0,2,9.32104111433636E-5,0,9,0,5,115,blue
2082,Luis Mariano Argote,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,1139,0,0,2,blue
2083,Nathan Rosenfeld,,1,4,5,1.0,4.0,5.0,1,1.6891926905150627E-5,0,1140,0,0,5,brown
2084,Alessandro Torrisi,,1,7,8,1.0,7.0,8.0,1,1.4119917763488009E-5,0,9,0,1,7,brown
2085,Alessandro Accardo,,83,68,151,96.0,79.0,175.0,5,2.4238814459370743E-4,0,9,0,12,163,purple
2086,Gianluca Mager,,85,62,147,96.0,71.0,167.0,5,2.2104996470045035E-4,0,9,0,24,143,purple
2087,Joseph Kasnetz,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,1141,0,0,2,dark green
2088,Judd Berg Graul,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1142,0,0,1,purple
2089,Jan Oliver Sadlowski,,1,6,7,1.0,6.0,7.0,0,1.4912309786422105E-5,0,9,0,2,5,dark green
2090,Tomas Martin Etcheverry,,0,4,4,0.0,4.0,4.0,4,1.3162540327839612E-5,0,1143,0,0,4,green
2091,Kassimbek Akzharkenov,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,1145,0,0,1,dark green
2092,Iain Atkinson,,1,8,9,1.0,9.0,10.0,1,1.6891926905150627E-5,0,1146,0,1,9,brown
2093,Wojciech Starakiewicz,,1,12,13,1.0,12.0,13.0,5,1.5350353592600438E-5,0,9,0,1,12,purple
2094,Dragos Nicolae Madaras,,7,7,14,7.0,7.0,14.0,1,4.712940312703558E-5,0,9,0,2,12,brown
2095,Valtteri Ahti,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1147,0,0,1,purple
2096,Roy Kalmanovich,,20,20,40,20.0,20.0,40.0,2,6.902606336903708E-5,0,9,0,6,34,blue
2097,Mitchell Polnet,,2,8,10,2.0,9.0,11.0,2,1.547491577885114E-5,0,9,0,1,10,blue
2098,Mauricio Resendiz Dominguez,,6,20,26,6.0,21.0,27.0,4,2.8876020663214635E-5,0,9,0,0,27,green
2099,Yury Nebolsin,,1,4,5,1.0,4.0,5.0,5,1.551384888954742E-5,0,9,0,0,5,purple
2100,Tomislav Saulo Vrsalovic,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,1148,0,0,2,green
2101,Sebastian Nawrocki,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1149,0,0,1,green
2102,Jalil Khan,,4,10,14,4.0,12.0,16.0,2,2.2697591751201523E-5,0,9,6,0,10,blue
2103,Hoang Anh Khoa Tran,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,1150,0,0,1,blue
2104,Felipe Assuncao Garla,,1,6,7,1.0,6.0,7.0,4,1.536906843007906E-5,0,9,0,0,7,green
2105,Ken Onishi,,13,23,36,13.0,24.0,37.0,2,4.134466149001915E-5,0,9,0,1,36,blue
2106,Lorenzo Abbruciati,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1151,0,0,1,green
2107,Cristian Fabian Jesus Maldonado Maturana,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1153,0,0,1,green
2108,Viktor Volosin,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,1155,0,0,2,blue
2109,Pietro Cortecci,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1156,0,0,1,purple
2110,Jiri Podhajsky,,0,3,3,0.0,3.0,3.0,5,1.3162540327839612E-5,0,1157,0,0,3,purple
2111,Patrick Kypson,,1,2,3,1.0,2.0,3.0,2,1.536029658545691E-5,0,9,0,0,3,blue
2112,Marko Osmakcic,,10,19,29,10.0,19.0,29.0,5,3.1171304274893954E-5,0,9,0,0,29,purple
2113,Aviruth Phaphui,,1,3,4,1.0,3.0,4.0,2,1.4043508812907745E-5,0,9,0,4,0,blue
2114,Colin Ebelthite,,126,90,216,172.0,120.0,292.0,2,4.050462969251006E-4,0,9,1,83,208,blue
2115,Sora Fukuda,,5,7,12,5.0,7.0,12.0,2,2.1261871286516915E-5,0,9,0,2,10,blue
2116,Jacob Rasolondrazana,,0,3,3,0.0,4.0,4.0,3,1.3162540327839612E-5,0,1158,4,0,0,red
2117,Felipe Meligeni Rodrigues Alves,,1,3,4,1.0,3.0,4.0,4,2.435070005977266E-5,0,1159,0,0,4,green
2118,Sergio Barberan Miguel,,8,23,31,8.0,25.0,33.0,1,3.122433141442846E-5,0,9,0,0,33,brown
2119,Zoran Golubovic,,20,38,58,22.0,43.0,65.0,5,6.11631857338034E-5,0,9,0,1,64,purple
2120,Angel Garcia Lopez,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,1160,0,0,1,brown
2121,Daniel Kerznerman,,2,4,6,2.0,4.0,6.0,2,1.5591503660594964E-5,0,9,0,2,4,blue
2122,Igor Rivchin,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,1161,0,0,3,blue
2123,Jakub Novak,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1162,0,0,1,purple
2124,Yevgeny Perepelov,,0,7,7,0.0,7.0,7.0,4,1.3162540327839612E-5,0,1164,0,0,7,green
2125,Jeremy Mcclelland,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1165,0,0,1,purple
2126,Luca Bianchini,,3,14,17,3.0,14.0,17.0,1,1.7660019940684287E-5,0,9,0,0,17,brown
2127,Abbas Dehghani,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,1166,0,0,2,dark green
2128,Johan Claesson,,0,3,3,0.0,3.0,3.0,1,1.3162540327839612E-5,0,1167,0,0,3,brown
2129,Christopher Diaz,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,1168,0,0,1,blue
2130,Fernando Araujo,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1169,0,0,1,green
2131,Alessandro Fuzio,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,1170,0,0,1,purple
2132,Bruno Santanna,,93,85,178,125.0,99.0,224.0,4,2.86098502808319E-4,0,9,0,36,188,green
2133,Adrian Partl,,92,57,149,99.0,69.0,168.0,5,2.0154660356102493E-4,0,9,0,0,168,purple
2134,Jan Henrik Langhorst,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,1171,0,1,1,purple
2135,Georges Wambo,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,1172,0,0,1,green
2136,Joachim Sternbach,,3,11,14,3.0,11.0,14.0,5,1.9811447054230458E-5,0,9,0,0,14,purple
2137,Anthony Jackie Tang,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,1173,0,0,2,blue
2138,Matthew Prentice,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,1174,0,0,2,brown
2139,Can Kiziltuna,,0,5,5,0.0,5.0,5.0,0,1.3162540327839612E-5,0,1175,0,0,5,dark green
2140,Kevin Sorensen,,17,22,39,18.0,23.0,41.0,3,8.407081464078194E-5,0,9,3,9,29,red
2141,Wouter Standaart,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,1176,0,1,0,red
