id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class,pageranks,componentnumber,strongcompnum,atp count,qual count,future count,comp color
5050,Benjamin Brammert,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2681,0,0,1,purple
5051,Nami Malek,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2682,0,0,1,dark green
5052,Fermin Calvo Barcelo,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2683,0,0,1,green
5053,Matthew Pierot,,8,13,21,9.0,14.0,23.0,5,3.239779927012065E-5,0,9,0,1,22,purple
5054,Kevin Kung,,3,4,7,3.0,4.0,7.0,2,1.7950068730735014E-5,0,9,1,1,5,blue
5055,Filip Rams,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2685,0,1,1,dark green
5056,Jean Baptiste Mateo,,1,5,6,1.0,5.0,6.0,5,1.4314972992490352E-5,0,9,0,0,6,purple
5057,Pedro Sousa,,152,115,267,170.0,134.0,304.0,5,4.662016419169583E-4,0,9,9,130,165,purple
5058,Arthur Libaud,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2686,0,0,1,purple
5059,Juan Jose Mateus Rubiano,,1,3,4,1.0,3.0,4.0,4,2.435070005977266E-5,0,2510,0,1,3,green
5060,Benjamin Rufer,,31,18,49,32.0,19.0,51.0,5,1.1989881453759389E-4,0,9,0,0,51,purple
5061,Mark Hilton,,42,25,67,48.0,27.0,75.0,1,1.3545143657890915E-4,0,9,1,16,58,brown
5062,Zhizhen Zhang,,31,40,71,32.0,41.0,73.0,5,1.1311670859830307E-4,0,9,2,12,59,purple
5063,Fernando Tapia,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,2687,0,0,2,green
5064,Borut Puc,,55,74,129,59.0,79.0,138.0,4,1.5570396990032028E-4,0,9,0,19,119,green
5065,Marc Auradou,,45,65,110,47.0,74.0,121.0,4,1.0750498038935141E-4,0,9,0,3,118,green
5066,Saidi Nkurunziza,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,2688,0,0,2,blue
5067,Geoffrey Hernandez,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,2689,0,0,3,blue
5068,Amerigo Contini,,8,15,23,8.0,15.0,23.0,5,2.9921569596845483E-5,0,9,0,0,23,purple
5069,Yeboua Koffi Etienne Bini,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,2690,0,0,2,blue
5070,Lawal Shehu,,16,29,45,16.0,35.0,51.0,1,4.8509192959362274E-5,0,9,1,0,50,brown
5071,Manuel Barroetavena,,1,2,3,1.0,3.0,4.0,4,1.5153628559663393E-5,0,9,0,0,4,green
5072,Paulo Calabro,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2691,0,0,1,green
5073,Mohamed Shabib,,8,27,35,8.0,27.0,35.0,1,2.4141854347928298E-5,0,9,0,0,35,brown
5074,Yannick Stephan Born,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2692,0,0,1,purple
5075,Eldar Sebastian Rosianu,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2693,0,0,1,purple
5076,Roman Gigolaev,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2694,0,0,2,dark green
5077,Hayato Furukawa,,12,20,32,12.0,23.0,35.0,2,4.5282574262077863E-5,0,9,0,0,35,blue
5078,Roy Bruggeling,,11,14,25,11.0,16.0,27.0,5,3.2119853416403066E-5,0,9,0,1,26,purple
5079,Ki Sung Kim,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2695,0,0,1,blue
5080,Henrik Sillanpaa,,69,76,145,75.0,89.0,164.0,1,1.6947980771760498E-4,0,9,2,8,154,brown
5081,Tobias Hinzmann,,10,22,32,10.0,22.0,32.0,5,3.969484315051549E-5,0,9,0,2,30,purple
5082,Mehrdad Vahabi,,0,1,1,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2696,0,0,2,dark green
5083,Dan Adrian Chermaci,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2697,0,0,1,dark green
5084,Zeyad Montasser,,1,7,8,1.0,7.0,8.0,0,1.3969646012103405E-5,0,9,0,0,8,dark green
5085,Federico Maccari,,27,53,80,27.0,56.0,83.0,5,6.523869673090653E-5,0,9,0,0,83,purple
5086,Federico Useleti,,0,3,3,0.0,3.0,3.0,4,1.3162540327839612E-5,0,2698,0,0,3,green
5087,Ricardo Perez,,0,2,2,0.0,2.0,2.0,4,1.3162540327839612E-5,0,2699,0,0,2,green
5088,Ivan Denisov,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2700,0,1,0,dark green
5089,Kamil Blaha,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,2701,0,0,2,purple
5090,Jirat Navasirisomboon,,7,11,18,7.0,12.0,19.0,2,2.7480884008496363E-5,0,9,0,1,18,blue
5091,Alfredo Perez,,1,1,2,1.0,1.0,2.0,2,1.5124417998646885E-5,0,9,0,0,2,blue
5092,Nik Popovic,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2702,0,0,1,purple
5093,Jose Angel Carrizo,,1,10,11,1.0,10.0,11.0,4,1.375025313057638E-5,0,9,0,0,11,green
5094,Laurent Olivier Daxhelet,,5,17,22,5.0,19.0,24.0,5,1.8724883810804187E-5,0,9,0,0,24,purple
5095,Rafael Mazon Hernandez,,50,93,143,54.0,136.0,190.0,5,1.4134058431574954E-4,0,9,0,7,183,purple
5096,Jonathan Diomedi,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2703,0,0,1,green
5097,Daichi Kato,,1,2,3,1.0,2.0,3.0,2,2.351158836816826E-5,0,2704,0,0,3,blue
5098,Ofir Ginat,,0,3,3,0.0,3.0,3.0,0,1.3162540327839612E-5,0,2705,0,0,3,dark green
5099,Mikus Losbergs,,1,2,3,1.0,2.0,3.0,2,1.8756620193806137E-5,0,2706,0,0,3,blue
5100,Diego Puerto Jaimez,,1,7,8,1.0,7.0,8.0,1,1.6539794469437474E-5,0,9,0,0,8,brown
5101,Orlando Superlano,,10,27,37,10.0,31.0,41.0,4,3.234032608590007E-5,0,9,0,0,41,green
5102,Soon Woo Kwon,,13,12,25,13.0,13.0,26.0,2,4.5710285592632674E-5,0,9,0,2,24,blue
5103,Julien Dupuy,,1,1,2,1.0,1.0,2.0,2,2.435070005977266E-5,0,2707,0,2,0,blue
5104,Lucas Machado,,0,4,4,0.0,4.0,4.0,3,1.3162540327839612E-5,0,2708,0,3,1,red
5105,Fabian Van Der Lans,,5,18,23,5.0,18.0,23.0,5,1.821903598173833E-5,0,9,0,1,22,purple
5106,Anton Sankov,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2709,0,0,1,dark green
5107,Lloyd Segal,,4,9,13,4.0,10.0,14.0,2,4.336196219301315E-5,0,9,0,0,14,blue
5108,Fakhraddin Shirinov,,0,4,4,0.0,4.0,4.0,0,1.3162540327839612E-5,0,2710,0,0,4,dark green
5109,Nicolas Kiefer,,79,55,134,106.0,87.0,193.0,3,5.699947663427441E-4,0,9,186,7,0,red
5110,Phillip Schulz,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2711,0,0,1,purple
5111,Dmitry Shatalin,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,2712,0,0,2,purple
5112,Rapeephat Waewboot,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2713,0,0,1,blue
5113,Bruce Strachan,,13,31,44,13.0,32.0,45.0,1,4.3383667365716334E-5,0,9,0,0,45,brown
5114,Alvaro Vargas,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2714,0,0,1,green
5115,Septimiu Fratila,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2715,0,0,1,blue
5116,Nicolas Ernst,,0,7,7,0.0,8.0,8.0,5,1.3162540327839612E-5,0,2716,0,2,6,purple
5117,Emanuele Thomas Sapio,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2717,0,0,1,purple
5118,Nathan Byrnes,,1,3,4,1.0,3.0,4.0,2,1.3995916196801576E-5,0,9,0,0,4,blue
5119,Gaston Garcia Alonso,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2718,0,0,2,dark green
5120,Martin Rondina,,2,13,15,2.0,13.0,15.0,4,1.592186807274903E-5,0,9,0,1,14,green
5121,Freddy Luciani,,1,2,3,1.0,2.0,3.0,4,1.4402972760191312E-5,0,51,0,0,3,green
5122,Jonathan Parkes,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,2719,0,0,2,brown
5123,Sam Thompson,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2720,0,0,1,blue
5124,Jacob Grills,,57,59,116,64.0,76.0,140.0,2,1.621083289519947E-4,0,9,0,11,129,blue
5125,Oleg Dolgosheyev,,0,2,2,0.0,3.0,3.0,0,1.3162540327839612E-5,0,2721,0,0,3,dark green
5126,Federico Clara Figueroa,,9,15,24,9.0,15.0,24.0,4,3.197778587396011E-5,0,9,0,0,24,green
5127,Clint Bowles,,5,8,13,5.0,8.0,13.0,4,2.6723933449952728E-5,0,9,1,0,12,green
5128,Fabian Gruber,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,2722,0,0,2,blue
5129,Kamil Filali,,4,19,23,4.0,19.0,23.0,1,2.1544371172463888E-5,0,9,0,0,23,brown
5130,Sefa Suluoglu,,8,42,50,8.0,45.0,53.0,5,3.1913974435297694E-5,0,9,0,0,53,purple
5131,Hyun Woo Nam,,123,100,223,138.0,128.0,266.0,2,3.5561601870009893E-4,0,9,2,18,246,blue
5132,Patrik Obal,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,2723,0,0,2,purple
5133,Alain Hakizimana,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2724,0,0,1,blue
5134,Mario Jakovljevic,,1,4,5,1.0,4.0,5.0,5,1.3820732158743274E-5,0,9,0,0,5,purple
5135,Maniel Bains,,19,39,58,19.0,45.0,64.0,1,6.070518348228024E-5,0,9,0,0,64,brown
5136,Maxime Forcin,,40,47,87,40.0,49.0,89.0,5,1.0032756307527856E-4,0,9,0,0,89,purple
5137,Mikolaj Jedruszczak,,20,39,59,22.0,43.0,65.0,5,5.3880789287266356E-5,0,9,0,0,65,purple
5138,Louk Sorensen,,186,120,306,201.0,144.0,345.0,3,5.971561694320337E-4,0,9,11,176,158,red
5139,Yuqing Ning,,17,35,52,18.0,42.0,60.0,2,4.977696645469566E-5,0,9,0,6,54,blue
5140,Christopher Price,,0,3,3,0.0,4.0,4.0,4,1.3162540327839612E-5,0,2725,0,0,4,green
5141,Alejandro Garcia Saez,,1,3,4,1.0,3.0,4.0,5,1.434315373148461E-5,0,9,0,0,4,purple
5142,Fitrawan Syam,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2726,0,0,1,blue
5143,Roger Lema,,1,3,4,1.0,4.0,5.0,4,2.435070005977266E-5,0,1446,0,0,5,green
5144,Felix Rauch,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,2727,0,0,3,blue
5145,Jacques Roux,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2728,0,0,1,green
5146,Alexey Iremashvili,,3,8,11,3.0,9.0,12.0,0,1.7315896188862913E-5,0,9,0,4,8,dark green
5147,Boris Chernov,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,2729,0,0,2,brown
5148,Alexandre Bonatto,,130,66,196,184.0,95.0,279.0,4,4.1883039624864173E-4,0,9,0,10,269,green
5149,Michal Navratil,,90,60,150,104.0,66.0,170.0,5,2.808181459943702E-4,0,9,0,25,145,purple
5150,Marcelo Demoliner,,137,88,225,185.0,143.0,328.0,4,4.672647622592038E-4,0,9,3,110,215,green
5151,Richard Ashforth,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2730,0,0,1,green
5152,Matus Horecny,,9,30,39,9.0,32.0,41.0,5,2.844958546370184E-5,0,9,0,3,38,purple
5153,Ahmed Shebl Morsy,,21,19,40,24.0,24.0,48.0,1,5.366608205051041E-5,0,9,0,0,48,brown
5154,Constantin Frantzen,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2731,0,0,1,purple
5155,Martin Joyce,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2732,0,0,1,blue
5156,Tomas Jecminek,,6,5,11,6.0,5.0,11.0,5,3.963606295776927E-5,0,9,0,0,11,purple
5157,Sinan Tuna,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2733,0,0,2,dark green
5158,Marko Lovrinovic,,0,4,4,0.0,4.0,4.0,5,1.3162540327839612E-5,0,2734,0,1,3,purple
5159,Sam Garforth Bles,,3,6,9,3.0,6.0,9.0,2,1.823225189712659E-5,0,9,0,0,9,blue
5160,Andrea Sonato,,0,3,3,0.0,3.0,3.0,5,1.3162540327839612E-5,0,2735,0,0,3,purple
5161,Eric Nunez,,76,80,156,83.0,96.0,179.0,3,2.494957688353278E-4,0,9,1,110,68,red
5162,Luis Moreschi,,0,4,4,0.0,4.0,4.0,4,1.3162540327839612E-5,0,2736,0,0,4,green
5163,Lloyd Glasspool,,28,18,46,29.0,20.0,49.0,1,7.137935190751084E-5,0,9,0,0,49,brown
5164,Daniele Silvestre,,0,2,2,0.0,2.0,2.0,5,1.3162540327839612E-5,0,2737,0,0,2,purple
5165,Dariusz Kuligowski,,3,7,10,3.0,8.0,11.0,3,3.088526436296622E-5,0,9,0,0,11,red
5166,Nicolas Beuque,,2,5,7,2.0,5.0,7.0,1,1.6485727303432024E-5,0,9,0,0,7,brown
5167,Mattis Wetzel,,2,5,7,2.0,5.0,7.0,3,1.6345878537157194E-5,0,9,0,0,7,red
5168,Youssou Berthe,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2738,0,0,1,green
5169,Arkadiusz Kocyla,,45,61,106,47.0,71.0,118.0,5,9.660202948124494E-5,0,9,0,2,116,purple
5170,James Elliott,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2740,0,0,1,brown
5171,Jan Greve,,6,4,10,6.0,4.0,10.0,5,2.8461915392755524E-5,0,9,0,0,10,purple
5172,Bruno Semenzato,,27,39,66,29.0,52.0,81.0,4,8.004310252497728E-5,0,9,0,6,75,green
5173,Fabio Costa,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2741,0,0,1,green
5174,Adam Novak,,1,2,3,1.0,2.0,3.0,5,1.557516456168755E-5,0,9,0,0,3,purple
5175,Tom Jomby,,58,32,90,60.0,35.0,95.0,5,1.312483912880659E-4,0,9,0,3,92,purple
5176,Jose Antonio Macouzet,,1,2,3,1.0,2.0,3.0,2,1.8756620193806137E-5,0,2742,0,0,3,blue
5177,Basil Khuma,,2,6,8,2.0,6.0,8.0,2,2.5066671808983352E-5,0,9,0,0,8,blue
5178,Jose Maria Vicente,,3,1,4,3.0,1.0,4.0,1,2.1751797010800096E-5,0,9,0,0,4,brown
5179,Qin Nong Yang,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2743,0,0,1,blue
5180,Florent Diep,,48,62,110,49.0,69.0,118.0,5,1.2806435808100945E-4,0,9,0,3,115,purple
5181,Yorick Amon,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2744,0,0,1,blue
5182,Augusto Meirelles,,4,19,23,4.0,23.0,27.0,4,2.08251348505374E-5,0,9,0,1,26,green
5183,Dineshkanthan Thangarajah,,3,19,22,3.0,19.0,22.0,2,1.874333430733612E-5,0,9,13,0,9,blue
5184,Alti Vahkal,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2745,1,0,0,brown
5185,Francesc Manresa Canabate,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2746,0,0,1,brown
5186,Tobias Simon,,50,68,118,54.0,71.0,125.0,5,1.301554066948827E-4,0,9,0,7,118,purple
5187,Carlos Cuenca Navarro,,12,25,37,12.0,32.0,44.0,1,3.472426106639912E-5,0,9,0,0,44,brown
5188,Ilya Ivashka,,63,42,105,69.0,50.0,119.0,0,1.5500913751515186E-4,0,9,0,13,106,dark green
5189,Wang Cheng Hsieh,,10,13,23,10.0,15.0,25.0,2,3.824296167776936E-5,0,9,0,0,25,blue
5190,Michael Geerts,,43,43,86,49.0,49.0,98.0,5,1.070687848647068E-4,0,9,0,1,97,purple
5191,Jake Devine,,0,3,3,0.0,3.0,3.0,2,1.3162540327839612E-5,0,2747,0,0,3,blue
5192,Richard Irwin,,33,54,87,36.0,70.0,106.0,1,9.641754024202026E-5,0,9,0,2,104,brown
5193,Jacobo Gonzalez Tarrio,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2748,0,0,1,brown
5194,Andrei Radulescu,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,2749,0,0,1,red
5195,Vinko Ojdanic,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2750,0,0,1,purple
5196,Roman Herold,,5,11,16,5.0,11.0,16.0,5,2.097816429853959E-5,0,9,0,0,16,purple
5197,Igor Lakhno,,1,8,9,1.0,8.0,9.0,5,1.42918843850798E-5,0,9,0,0,9,purple
5198,Genia Gamazov,,0,6,6,0.0,6.0,6.0,3,1.3162540327839612E-5,0,2751,0,0,6,red
5199,Artem Kuznetsov,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2752,0,0,2,dark green
5200,Valentin Dimov,,69,82,151,72.0,98.0,170.0,5,1.4561402943447297E-4,0,9,2,0,168,purple
5201,Dominik Wirlend,,4,8,12,4.0,8.0,12.0,5,1.8266203850402186E-5,0,9,0,0,12,purple
5202,Todor Enev,,127,85,212,146.0,96.0,242.0,5,3.442675905151995E-4,0,9,15,9,218,purple
5203,Baptiste Ranoldi,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,2753,0,0,2,brown
5204,Carlos Bautista Enrique,,0,2,2,0.0,2.0,2.0,1,1.3162540327839612E-5,0,2754,0,0,2,brown
5205,Juan Pablo Brzezicki,,174,129,303,223.0,183.0,406.0,3,7.844590353394857E-4,0,9,24,378,4,red
5206,Artem Isaev,,4,21,25,4.0,21.0,25.0,0,1.8331923797764045E-5,0,9,0,3,22,dark green
5207,Antonio Marquez,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,2755,0,0,1,red
5208,Kalle Averfalk,,12,28,40,12.0,29.0,41.0,1,3.782045438282725E-5,0,9,0,1,40,brown
5209,Sang Woo Noh,,23,42,65,24.0,47.0,71.0,2,7.548031439113215E-5,0,9,0,3,68,blue
5210,Hyeong Don Kim,,1,2,3,1.0,2.0,3.0,2,1.5442982723610796E-5,0,9,0,0,3,blue
5211,Juan Pablo Blariza,,0,3,3,0.0,4.0,4.0,4,1.3162540327839612E-5,0,2756,0,0,4,green
5212,Rabie Chaki,,120,80,200,138.0,90.0,228.0,1,3.604798338007677E-4,0,9,10,24,194,brown
5213,Alberton Richelieu,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2757,0,0,1,green
5214,Cesar Ruiz Alvarez,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2758,0,0,1,blue
5215,Ante Nakic Alfirevic,,66,69,135,68.0,77.0,145.0,5,1.561869889637316E-4,0,9,0,4,141,purple
5216,Dimitar Kuzmanov,,146,77,223,175.0,95.0,270.0,5,3.4005324097513605E-4,0,9,8,14,248,purple
5217,Vitaly Kozyukov,,18,40,58,19.0,48.0,67.0,0,4.488756259482522E-5,0,9,0,2,65,dark green
5218,Sergei Pozdnev,,1,1,2,1.0,1.0,2.0,1,1.4388524600195873E-5,0,9,0,0,2,brown
5219,Paterne Mamata,,22,34,56,23.0,34.0,57.0,5,8.131120121788305E-5,0,9,0,0,57,purple
5220,Oscar Podlewski,,0,4,4,0.0,4.0,4.0,1,1.3162540327839612E-5,0,2759,0,0,4,brown
5221,Jhon Bolivar,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2760,0,0,1,green
5222,Andrei Crapcenco,,1,9,10,1.0,9.0,10.0,0,1.3878215772890401E-5,0,9,0,0,10,dark green
5223,In Kyo Jeong,,1,1,2,1.0,1.0,2.0,2,2.435070005977266E-5,0,2560,0,0,2,blue
5224,Pavel Motl,,1,2,3,1.0,2.0,3.0,0,1.4724122229345707E-5,0,9,0,0,3,dark green
5225,Martin Verkerk,,22,25,47,23.0,26.0,49.0,3,9.59131066097266E-5,0,9,12,22,15,red
5226,Alan Poric,,3,8,11,3.0,8.0,11.0,2,1.9792619973493255E-5,0,9,0,0,11,blue
5227,Viktor Filipenko,,47,66,113,49.0,76.0,125.0,5,8.852604207675824E-5,0,9,3,0,122,purple
5228,Wojciech Owsiak,,0,5,5,0.0,5.0,5.0,4,1.3162540327839612E-5,0,2761,0,0,5,green
5229,David Florez Cohen,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2762,0,0,1,brown
5230,Savino Lapalombella,,0,1,1,0.0,1.0,1.0,3,1.3162540327839612E-5,0,2763,0,1,0,red
5231,Vasil Shandarov,,2,8,10,2.0,9.0,11.0,0,2.5723866624885265E-5,0,9,0,0,11,dark green
5232,Salar Saraydarpour,,1,7,8,1.0,7.0,8.0,0,1.4984450026572469E-5,0,9,0,0,8,dark green
5233,Kushaan Nath,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2764,0,0,1,purple
5234,Dong Kyu Lee,,10,16,26,10.0,18.0,28.0,2,3.46288549999113E-5,0,9,0,0,28,blue
5235,Philipp Aleksanyan,,2,5,7,2.0,5.0,7.0,5,1.604563152901005E-5,0,9,0,0,7,purple
5236,Yu Jr Wang,,77,68,145,89.0,85.0,174.0,2,2.212028606987604E-4,0,9,10,12,152,blue
5237,Michal Marko,,1,5,6,1.0,5.0,6.0,5,1.3908417643301815E-5,0,1722,0,0,6,purple
5238,Eui Hyun Chung,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2765,0,0,1,blue
5239,Diego Garcia Dalisay,,1,2,3,1.0,2.0,3.0,2,2.435070005977266E-5,0,1002,0,0,3,blue
5240,Max Andrews,,2,5,7,2.0,5.0,7.0,5,2.6338147080499077E-5,0,9,0,0,7,purple
5241,Tae Hyun Jeon,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,2766,0,0,2,blue
5242,Ruslan Galimov,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2767,0,0,1,dark green
5243,Ervin Eleskovic,,134,128,262,149.0,136.0,285.0,1,3.6346689631097575E-4,0,9,9,42,234,brown
5244,Nai Zheng Yu,,1,2,3,1.0,2.0,3.0,2,1.502723361649512E-5,0,2768,0,0,3,blue
5245,Stefano Tarallo,,1,3,4,1.0,3.0,4.0,5,1.6015997156313553E-5,0,9,0,0,4,purple
5246,Samuel Taylor,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2769,0,0,1,brown
5247,Raian Luchici,,55,35,90,58.0,44.0,102.0,0,1.3626096537414857E-4,0,9,0,7,95,dark green
5248,Juan Carlos Gomez Straffon,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2770,0,0,1,green
5249,Shintaro Imai,,10,13,23,11.0,17.0,28.0,2,3.816652106770679E-5,0,9,0,1,27,blue
5250,Reilly Opelka,,11,15,26,12.0,15.0,27.0,2,4.745903113042675E-5,0,9,0,4,23,blue
5251,Christian Alvin Edison,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2771,0,0,1,blue
5252,Dovydas Sakinis,,20,37,57,20.0,38.0,58.0,0,6.322653883607187E-5,0,9,7,0,51,dark green
5253,Timur Alshin,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2772,0,1,0,dark green
5254,Aws Laaribi,,0,2,2,0.0,2.0,2.0,2,1.3162540327839612E-5,0,2773,0,1,1,blue
5255,Ankush Arora,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2774,0,0,1,blue
5256,Danyil Chornous,,0,3,3,0.0,3.0,3.0,1,1.3162540327839612E-5,0,2775,0,0,3,brown
5257,Jakob C Richardson,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2776,0,0,1,blue
5258,Andres Schneiter,,1,1,2,1.0,1.0,2.0,2,1.4024962618213556E-5,0,9,0,2,0,blue
5259,Martin Di Mella,,1,5,6,1.0,5.0,6.0,4,1.415337408822266E-5,0,9,0,0,6,green
5260,Clint Boling,,0,4,4,0.0,4.0,4.0,4,1.3162540327839612E-5,0,2777,0,0,4,green
5261,Brendan Moore,,36,46,82,36.0,52.0,88.0,2,9.296135224007675E-5,0,9,0,1,87,blue
5262,Mario Correa,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2778,0,0,1,green
5263,Dennis Uspensky,,12,24,36,13.0,26.0,39.0,2,3.9157564681572556E-5,0,9,0,0,39,blue
5264,Kacper Owsian,,13,25,38,13.0,27.0,40.0,5,4.6625955432231197E-5,0,9,0,1,39,purple
5265,Tzu Yang Lin,,5,15,20,5.0,16.0,21.0,2,2.1811556563823967E-5,0,9,0,1,20,blue
5266,Strahinja Trecakov,,0,3,3,0.0,3.0,3.0,5,1.3162540327839612E-5,0,2779,0,0,3,purple
5267,Kai Ohuchi,,1,4,5,1.0,4.0,5.0,2,1.5707846753341554E-5,0,2673,0,1,4,blue
5268,Henrik Sinkko,,1,1,2,1.0,1.0,2.0,1,1.6891926905150627E-5,0,1959,0,0,2,brown
5269,Edesio Semencato,,15,20,35,15.0,25.0,40.0,4,3.652785293989041E-5,0,9,0,0,40,green
5270,Agustin Velotti,,145,110,255,182.0,137.0,319.0,4,5.004814074579362E-4,0,9,2,168,149,green
5271,Gustavo Guerses,,42,102,144,47.0,125.0,172.0,4,1.0285448227278246E-4,0,9,0,0,172,green
5272,Berke Tombul,,0,1,1,0.0,1.0,1.0,0,1.3162540327839612E-5,0,2780,0,0,1,dark green
5273,Amer Naow,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2781,0,0,1,purple
5274,Oskar Johansson,,0,1,1,0.0,1.0,1.0,4,1.3162540327839612E-5,0,2782,0,0,1,green
5275,Paul Monteban,,16,16,32,18.0,17.0,35.0,5,4.126531398030833E-5,0,9,0,0,35,purple
5276,Magnus Broms,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2783,0,0,1,brown
5277,He Feng,,9,30,39,9.0,34.0,43.0,2,3.532060576510506E-5,0,9,0,4,39,blue
5278,Arnykgo Mesakh,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2784,0,0,1,blue
5279,Nathan Pasha,,14,19,33,15.0,19.0,34.0,2,4.912062886052386E-5,0,9,1,2,31,blue
5280,Ahmad Maulana Bezuri,,0,1,1,0.0,1.0,1.0,5,1.3162540327839612E-5,0,2785,0,0,1,purple
5281,Jacob Dunbar,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2786,0,0,1,blue
5282,Shane Nicholls,,0,1,1,0.0,1.0,1.0,1,1.3162540327839612E-5,0,2787,0,0,1,brown
5283,Oscar Plotnik,,0,1,1,0.0,1.0,1.0,2,1.3162540327839612E-5,0,2788,0,0,1,blue
5284,Silviu Mistreanu,,0,2,2,0.0,2.0,2.0,0,1.3162540327839612E-5,0,2789,0,0,2,dark green
