id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,pageranks,wta count,itf count,comp color
211,Klaudia Boczova,,75,38,113,76,41,117,9,0.315643539,0.348651118,2.76E-04,0,0,4,0.068714172,2.75E-04,0,117,purple
212,Trang Huynh Phuong Dai,,21,46,67,21,49,70,9,0.325249169,0.357570569,7.43E-04,5,0,4,0.06370192,9.37E-05,5,65,green
213,Vivienne Vierin,,55,59,114,57,63,120,9,0.324473021,0.360414093,3.82E-04,0,0,4,0.063776396,1.69E-04,0,120,purple
214,Ankita Raina,,99,82,181,126,101,227,9,0.340001389,0.378011658,0.001488749,5,0,4,0.067491524,4.24E-04,5,222,green
216,Leslie Soto,,7,19,26,8,19,27,8,0.296756593,0.318923343,2.44E-04,3,0,4,0.104615383,5.06E-05,0,27,blue
221,Nicole Riner,,80,57,137,85,60,145,9,0.32310231,0.359275824,5.80E-04,0,0,4,0.053030305,2.83E-04,2,143,purple
222,Melissa Bolivar,,7,11,18,8,11,19,9,0.289970973,0.310915009,3.88E-04,3,0,4,0.154411763,3.34E-05,0,19,blue
228,Libuse Prusova,,30,24,54,32,28,60,9,0.280934343,0.308949041,9.43E-06,1,0,4,0.183257923,1.51E-04,4,56,red
231,Vanesa Furlanetto,,173,116,289,244,152,396,8,0.350118017,0.390078068,0.003138798,3,0,4,0.061841298,8.21E-04,0,396,blue
232,Bianca Botto,,152,74,226,195,89,284,8,0.331819414,0.36771414,0.001374583,3,0,4,0.087354958,7.97E-04,19,265,blue
234,Georgia Craven,,1,11,12,1,12,13,9,0.287417063,0.307938048,2.15E-04,0,0,4,0.037878789,1.73E-05,0,13,purple
237,Aniko Kapros,,80,93,173,84,102,186,9,0.321637427,0.360259173,3.41E-04,1,0,4,0.145885095,3.52E-04,13,173,red
241,Sofia Kvatsabaia,,204,170,374,227,195,422,8,0.361201299,0.40591055,0.003705607,0,0,4,0.049579624,7.16E-04,5,417,purple
246,Jana Albers,,3,8,11,3,8,11,9,0.278726796,0.301033124,5.95E-05,4,0,4,0.045454547,3.49E-05,0,11,brown
247,Victoria Chehal,,2,8,10,2,11,13,9,0.281201628,0.299437325,1.19E-05,5,0,173,0.044444446,2.50E-05,0,13,green
248,Shweta Rana,,49,63,112,58,75,133,8,0.33898892,0.372104188,7.72E-04,5,0,4,0.044384547,1.89E-04,0,133,green
249,Patricia Cortes,,4,12,16,4,13,17,9,0.283817476,0.305134572,1.13E-04,3,0,4,0.191666663,3.97E-05,0,17,blue
250,Joana Cortez,,43,43,86,43,50,93,9,0.308599168,0.340999968,3.26E-04,4,0,4,0.06234568,1.57E-04,0,93,brown
253,Manon Arcangioli,,91,79,170,100,89,189,9,0.334266594,0.371741735,5.34E-04,0,0,4,0.061123431,3.20E-04,1,188,purple
254,Teliana Pereira,,235,119,354,311,150,461,9,0.332902612,0.374136307,0.001310513,3,0,4,0.106450312,0.001367837,71,390,blue
257,Julia Moriarty,,38,93,131,41,95,136,8,0.353863949,0.391209203,0.001107202,3,0,4,0.035360765,1.10E-04,7,129,blue
265,Noel Scott,,16,22,38,17,24,41,9,0.3059375,0.332250272,1.07E-04,3,0,4,0.024774775,5.64E-05,0,41,blue
266,Nicole Melichar,,54,56,110,57,57,114,9,0.32385048,0.358446098,3.64E-04,0,0,4,0.060747664,1.96E-04,1,113,purple
